"","chaccu","orientation","corral.shape","corral.width","notes","east","north","length","elev.m"
"251",257,330,"round",3,NA,456659,8076758,47,4255
"252",258,280,"round",3,"Very vague",455343,8075763,60,4163
"253",259,300,"round",3,NA,457681,8073380,62,4090
"254",260,90,"round",3,NA,473715,8070658,90,4051
"255",261,60,"round",3,"expanded corall?",469766,8069353,68,4041
"256",262,120,"round",4,NA,519069,8007138,73,4199
"257",263,180,"round",4,NA,519774,8006864,83,4204
"258",264,290,"round",2,NA,524958,8004076,60,4146
"259",265,180,"round",3,"Many parallel lines nearby",524736,8001122,67,4153
"260",266,180,"round",2,"nearby parallel and square lines",525386,8000731,155,4119
"261",NA,290,"round",8.5,NA,450270,7866329,297,2953
"262",NA,0,"round",8,"Road?",452455,7866970,217,2993
"263",NA,5,"round",7,NA,449840,7866393,84,2916
"264",NA,270,"round",11,"Road",457098,7867267,700,3152
"265",NA,270,"square",7,"Even longer tail nearby",453625,7875547,267,2886
"266",NA,320,"round",5,"Even longer tail nearby",453971,7875338,292,2933
"267",NA,40,"round",11,"Tail seems to have been moved",443201,7893337,324,2981
"268",NA,45,"round",8,"Many tails, expanded multiple times OR communal",441471,7885736,306,2917
"270",NA,30,"round",17,"intersecting wall OR expanded tail",468292,7912095,433,4056
"271",NA,140,"round",8,NA,478151,7914429,109,4086
"272",NA,20,"square",7,NA,463934,7875683,435,3357
"273",NA,270,"ind",14,NA,456665,7868018,601,3127
"274",NA,200,"round",10,"canyon/river and modified",456340,7868052,338,3114
"275",NA,230,"square",6,"corral rebuilt?",463560,7876956,382,3410
"276",NA,180,"round",11,"off a small cliff",457402,7868051,301,3181
"277",NA,240,"square",7,NA,473484,7878123,274,3754
"278",NA,80,"square",10,"to ravine/river",448822,7868686,627,2914
"279",NA,200,"round",10,NA,475826,7886803,202,3898
"280",NA,270,"round",5,"Half of a trap. looks like a ?",482599,7885674,89,4002
"281",NA,200,"round",7,NA,451203,7884931,163,3389
"282",NA,90,"round",NA,"base of hill",460949,7873671,321,3299
"283",NA,320,"square",9,"pointing towards river/ravine",482157,7891486,309,3944
"284",NA,10,"round",12,NA,478318,7890848,237,3869
"285",NA,180,"round",10,NA,470792,7880195,208,3767
"286",NA,250,"round",10,"Corral Closed",475277,7887131,190,3896
"287",NA,350,"round",8,NA,469712,7887569,121,4048
"288",NA,200,"round",8,"corral closed off in a square",460389,7874800,348,3363
"289",NA,180,"round",4.5,NA,524045,8001586,58,4160
"290",NA,80,"round",3,NA,401764,8125624,42,4811
"291",NA,35,"round",4,NA,403315,8129723,67,4844
